text,predicted_emotion,confidence
"woe endure","joy",0.6669
"flame fear yes faust peer","joy",0.7508
"around wide world wendest busy spirit near feel","joy",0.8841
"yes priest comedian nature haply case","joy",0.8207
"youll neer attain save know feeling save soul rises clear serene primal strength compelling hearts minds hear sit forever gluing patching cook scraps others fare heap ashes hatching starveling flame blow bare take childrens monkeys gaze admiring taste content neer heart heart youll speak inspiring save heart eloquent","joy",0.9223
"seek honest recompense beware tinkling fool little clear wit sense suggest delivery thourt moved speak earnest need words yearnest yes discourses glittering show men twist shredded thought like paper unrefreshing winds blow rustling leaves chill autumnal vapor","joy",0.4580
"parchment holy fount draught wherefrom thirst forever slakes true refreshment restore save thine soul spontaneous breaks","joy",0.8066
"yes stars last listen friend ages past book seven seals protected spirit ages call nothing spirit wherein ages reflected oftentimes miserably mar first glance sees runs away offalbarrel lumbergarret best punchandjudy play maxims pragmatical hitting mouths puppets befitting","joy",0.9305
"yes kind men attain dares childs true name public mention thereof something really learned unwisely frank hearts spurned concealing mob laid bare thought feeling evermore crucified burned pray friend tis dead night","joy",0.3037
"brain alone loses hope whose choice stick shallow trash forevermore— digs eager hand buried ore finds angleworm rejoices dare human voice disturb flow around spiritpresence fullest thanks owe earths sons poorest dullest torn desperate state threatened soon overwhelm senses apparition giantgreat dwarfed withered souls pretences image godhead began— deeming eternal truth secure nearness— sun heavenly light clearness laid aside earthly man— cherub whose free force planned flow natures veins glad pulsation reach beyond enjoying creation life gods behold expiation thunderword swept stand27 dare venture compare though possessed power draw near power keep denied hand ecstatic moment held felt small great","fear",0.4950
"hollow humming sharp clear stroke drives lip goblets meeting announce booming bells already woke first glad hour easters festal greeting choirs begun sweet consoling chant night death angels ministrant sang gods new covenant repeating","joy",0.7140
"dust entice spell gentle powerful sounds heaven peal rather tender natures dwell messages hear faith given dearest child faith miracle venture soar yonder regions whence glad tidings hither float childhood familiar note life renews old allegiance heavenly love sent burning kiss brow sabbath silence holy filled mystic presage chimed churchbell slowly prayer dissolved fervent bliss sweet uncomprehended yearning drove forth feet woods meadows free thousand tears burning felt world arise chants youth sports appealing proclaimed springs rejoicing holiday memory holds childish feeling back last solemn way sound hymns heaven sweet mild tears gush forth earth takes back child","joy",0.6980
